NO;HHNO;ORIGINALPERSONID
27942142;11166234;3554
27942187;11166253;4278
27942231;11166271;2804
27942249;11166271;2233
27942276;11166271;2572
27942318;11166271;7
27942799;11166510;5021
27943399;11166778;5413
27949954;11169500;3204
27950222;11169610;7355
27950500;11169728;947
27950615;11169728;7710
27950633;11169779;4801
27950777;11169843;7627
27950811;11169843;974
27950906;11169898;667
27950928;11169898;3350
27950972;11169898;4344
27950994;11169898;7801
27951049;11169965;663
27951122;11169995;6687
27951248;11170050;7359
27951302;11170074;5791
27951305;11170075;2522
27951898;11170329;4717
27951919;11170335;3064
27951943;11170348;6959
27951986;11170366;2196
27952130;11170427;5943
27952217;11170427;843
27952323;11170511;2356
27952450;11170511;6159
27952480;11170580;179
27952617;11170637;251
27952662;11170658;2965
27952796;11170658;681
27952825;11170738;813
27952900;11170766;6109
27953334;11170946;3117
27953437;11170989;7347
27953474;11170989;7822
27953528;11171027;6051
27953537;11171031;211
27953592;11171058;7376
27953641;11171078;6484
27953943;11171194;8261
27953962;11171204;3040
27953974;11171211;3632
27953976;11171211;4454
27954188;11171304;4620
27954201;11171309;6901
27954206;11171309;4796
27954375;11171380;5473
27954378;11171380;6427
27954446;11171407;4467
27954532;11171445;6666
27954549;11171445;6111
27954595;11171470;5315
27955199;11171701;447
27955204;11171703;6616
27955214;11171706;1073
27955322;11171761;3247
27955665;11171909;8066
27955673;11171909;6044
27955712;11171932;6142
27956146;11172114;5087
27956160;11172121;6782
27956181;11172121;4707
27956337;11172197;3358
27956435;11172197;6675
27956762;11172369;3539
27956772;11172374;3708
27957065;11172508;2515
27957198;11172559;3126
27957211;11172559;7116
27957249;11172579;2545
27957556;11172703;5190
27957745;11172776;4645
27957755;11172776;1151
27957764;11172781;3721
27957830;11172807;4653
27957845;11172814;1453
27957866;11172820;5758
27957962;11172860;2273
27958306;11172991;3660
27958341;11173008;2377
27958346;11173008;6102
27958362;11173020;670
27958389;11173034;632
27958399;11173034;4859
27958479;11173034;7154
27958504;11173080;5521
27958535;11173080;3484
27958885;11173238;536
27958934;11173238;7042
27959203;11173371;4357
27959288;11173371;4109
27959308;11173371;3132
27959334;11173427;5364
27959401;11173427;2655
27959498;11173501;307
27959556;11173526;6411
27959702;11173587;1563
27959735;11173600;3241
27959781;11173618;3572
27959788;11173618;7706
27959825;11173618;7546
27959858;11173645;2260
27960060;11173724;2022
27960073;11173724;6851
27960115;11173724;5034
27960122;11173753;2797
27960297;11173820;7415
27960401;11173859;865
27960419;11173859;2519
27960438;11173876;8200
27960456;11173884;3065
27960613;11173950;4401
27960673;11173974;3182
27960723;11173974;2922
27960740;11173998;1823
27960751;11173998;7615
27960758;11173998;1955
27960846;11173998;3613
27960914;11174068;6916
27960935;11174068;5224
27960951;11174083;2806
27960969;11174091;1955
27961078;11174131;7618
27961167;11174178;7616
27961180;11174186;522
27961206;11174197;7850
27961254;11174221;8206
27961336;11174252;3245
27961493;11174325;1856
27961495;11174326;5365
27961673;11174401;5957
27961678;11174403;3605
27961764;11174439;7106
27961867;11174483;4259
27961878;11174487;3626
27961904;11174487;4216
27961929;10011745;1407
27962238;11174635;3141
27962284;11174652;2948
27962331;11174652;1948
27962334;11174652;451
27962423;11174711;2961
27962585;11174769;4843
27962590;11174769;2722
27962658;11174801;5333
27962725;11174801;1389
27962735;11174801;5820
27962747;11174835;2201
27962767;11174841;1734
27962803;11174854;7199
27962943;11174919;5963
27962996;11174919;7771
27963391;11175096;7532
27963399;11175096;450
27963432;11175112;6835
27963446;11175112;33
27963463;11175112;3462
27963560;11175112;1967
27963604;11175181;7712
27963654;11175201;7397
27963851;11175286;2285
27963898;11175306;842
27963901;11175307;1376
27963904;11175307;3028
27963910;11175307;7165
27963940;11175307;7354
27964016;11175359;2494
27964127;11175415;8245
27964237;11175461;3148
27964243;11175461;62
27964463;11175557;6225
27964486;11175567;6700
27964524;11175567;7410
27964535;11175583;4700
27964686;11175645;1286
27964704;11175651;2584
27964705;11175651;4433
27964715;11175655;607
27964740;11175655;1780
27964958;11175751;511
27965210;11175849;1594
27965242;11175860;1623
27965250;11175863;4266
27965293;11175881;207
27965313;11175881;732
27965464;11175956;310
27965488;11175965;1429
27965518;11175978;2823
27965612;11176021;7654
27965683;11176021;5141
27965840;11176108;1298
27965881;11176125;138
27965904;11176136;5777
27965925;11176144;7197
27965930;11176147;2421
27965935;11176149;4119
27965943;11176149;769
27965957;11176149;369
27965999;11176170;4285
27966015;11176177;5976
27966253;11176278;5824
27966389;11176334;5180
27966415;11176334;5545
27966420;11176345;2131
27966493;11176376;1238
27966496;11176376;2437
27966513;11176386;5419
27966518;11176390;8098
27966662;11176451;1617
27966668;11176451;7937
27966823;11176520;3248
27966944;11176575;8062
27967107;11176643;1827
27967124;11176650;1493
27967127;11176650;2210
27967150;11176650;4731
27967155;11176650;7138
27967158;11176650;1607
27967221;11176690;6508
27967247;11176699;6629
27967269;11176699;2983
27967436;11176772;7274
27967459;11176772;6435
27967537;11176809;4608
27967566;11176809;1524
27967872;11176952;3518
27968026;11177017;4380
27968080;11177017;7237
27968119;11177056;4715
27968142;11177064;7260
27968146;11177065;2219
27968188;11177065;6487
27968194;11177065;6170
27968284;11177065;3746
27968343;11177065;3555
27968353;11177065;7744
27968406;11177065;4991
27968409;11177065;589
27968466;11177193;7484
27968544;11177225;2331
27968587;11177244;4097
27968630;11177264;1271
27968726;11177302;911
27969106;11177461;2874
27969262;11177526;3581
27969301;11177526;139
27969380;11177581;1075
27969384;11177582;3382
27969397;11177582;1138
27969450;11177582;6929
27969508;11177637;7667
27969623;11177688;2307
27969711;11177688;988
27969834;11177770;7383
27969845;11177773;5314
27969857;11177777;4076
27969973;11177777;6995
27970008;11177840;6727
27970039;11177853;1511
27970073;11177862;7184
27970128;11177862;962
27970203;11177862;1304
27970224;11177862;3820
27970244;11177862;5078
27970426;11178015;4153
27970451;11178015;7551
27970485;11178045;5355
27970497;11178050;7106
27970500;11178050;1396
27970506;11178050;1551
27970538;11178050;2760
27970651;11178110;4516
27970703;11178110;5933
27970827;11178186;7673
27970925;11178234;4817
27970971;11178255;6862
27971118;11178318;7041
27971191;11178349;892
27971193;11178349;2790
27971492;11178467;2384
27971503;11178473;5371
27971627;11178528;3607
27971712;11178563;1686
27971746;11178577;5612
27971797;11178605;2863
27971803;11178605;7995
27971827;11178617;6181
27973267;11179217;7237
27973367;11179261;2157
27973374;11179261;2483
27973412;11179283;7380
27973447;11179296;6174
27973465;11179304;3471
27973477;11179304;5395
27973488;11179316;88
27973500;11179316;5444
27973530;11179332;2710
27973571;11179349;7862
27973578;11179349;5757
27973585;11179349;7458
27973588;11179349;8145
27973632;11179349;4882
27973671;11179349;25
27973693;11179349;6233
27973716;11179407;569
27973720;11179407;6638
27973760;11179407;3540
27973939;11179500;5167
27974158;11179585;6647
27974175;11179585;7620
27974227;11179615;1495
27974298;11179642;2020
27974341;11179664;535
27974470;11179714;5244
27974491;11179721;5047
27974499;11179725;5449
27974501;11179726;5651
27974535;11179739;866
27974618;11179739;2417
27975148;11179997;7876
27975358;11180089;7856
27975417;11180118;1449
27975444;11180132;5142
27975477;11180150;3403
27975526;11180168;8067
27975548;11180177;7826
27975564;11180186;7855
27976029;11180377;5105
27976063;11180377;3478
27976106;11180377;2264
27976208;11180377;2451
27976348;11180377;6860
27976382;11180377;4868
27976400;11180377;2162
27976449;11180377;5142
27976498;11180582;1726
27976566;11180612;5525
27976761;11180699;1356
27977037;11180816;7899
27977076;11180830;2159
27977407;11180964;1771
27977415;11180968;6714
27977502;11181009;5112
27977510;11181009;6586
27977559;11181035;5795
27977715;11181101;6374
27977779;11181130;7316
27977816;11181149;3956
27977982;11181219;5243
27978005;11181228;1408
27978079;11181269;391
27978095;11181269;6128
27978148;11181301;156
27978188;11181301;259
27978222;11181301;3515
27978228;11181333;3962
27978315;11181333;8182
27978382;11181394;3592
27978461;11181394;7204
27978526;11181449;6712
27978536;11181453;3453
27978620;11181453;5633
27978641;11181453;2985
27978677;11181453;4138
27978753;11181539;5390
27978802;11181557;7818
27978911;11181557;272
27978934;11181557;3712
27978972;11181623;2635
27979027;11181623;470
27979375;11181786;843
27979380;11181786;3816
27979454;11181825;2199
27979506;11181850;1401
27979513;11181850;3061
27979528;11181863;3394
27979532;11181863;1487
27979572;11181883;5738
27979598;11181892;5654
27980044;11182074;3169
27980185;11182124;956
27980329;11182180;6506
27980356;11182180;5362
27980692;11182331;6029
27980966;11182442;1720
27981060;11182481;2518
27981076;11182481;68
27981108;11182500;1240
27981215;11182500;1251
27981255;11182500;195
27981554;11182674;3156
27981643;11182674;4058
27981646;11182674;6776
27982120;11182911;4663
27982147;11182911;525
27982196;11182943;3187
27982216;11182950;2117
27982292;11182981;7309
27982434;11183044;4055
27982725;11183163;3116
27982755;11183163;7224
27982757;11183175;3465
27982848;11183175;1471
27982940;11183263;4331
27983192;11183373;4526
27983255;11183397;5873
27983275;11183397;3767
27983485;11183496;6284
27983509;11183496;5310
27983518;11183496;3513
27983527;11183496;1418
27983715;11183602;7265
27983723;11183604;6213
27983867;11183661;6365
27983972;11183701;2943
27984116;11183767;1949
27984129;11183772;4701
27984242;11183813;975
27984253;11183813;7416
27984363;11183861;887
27984409;11183883;7074
27984519;11183925;6115
27984539;11183925;6782
27984580;11183925;1669
27984594;11183957;1478
27984602;11183961;3819
27984606;11183963;3135
27984630;11183963;602
27984750;11184021;4186
27984761;11184021;2325
27984784;11184021;2373
27984815;11184044;1546
27984931;11184085;1154
27984957;11184085;7389
27985005;11184085;6525
27985109;11184085;8184
27985247;11184085;6166
27985515;11184324;5003
27985531;11184330;310
27985598;11184358;4587
27985705;11184400;5138
27985713;11184400;4044
27985723;11184400;6922
27985737;11184414;7670
27985785;11184414;4123
27985869;11184414;6472
27986028;11184526;1188
27986034;11184526;5268
27986333;11184640;133
27986343;11184640;4595
27986375;11184640;5893
27986455;11184694;6394
27986658;11184774;4093
27986676;11184784;5120
27986733;11184784;2991
27986789;11184784;4809
27986864;11184784;647
27986884;11184874;7135
27987014;11184874;169
27987040;11184941;3365
27987094;11184964;5027
27987095;11184964;3565
27987131;11184964;3951
27987183;11185004;5042
27987364;11185087;5701
27987367;11185087;6057
27987449;11185120;2854
27987649;11185201;5486
27987660;11185204;1444
27987858;11185285;6957
27987934;11185315;2
27988008;11185349;1773
27988009;11185349;3672
27988056;11185369;905
27988170;11185423;4182
27988474;11185556;2275
27988489;11185560;7449
27988631;11185614;5462
27988669;11185632;2481
27988749;11185632;7206
27989018;11185790;2121
27989066;11185790;5796
27989214;11185875;8184
27989292;11185875;2503
27989301;11185875;635
27989355;11185926;2748
27989666;11186047;971
27989671;11186048;6762
27989729;11186048;6928
27989920;11186156;884
27989928;11186159;6891
27990030;11186201;1410
27990055;11186215;300
27990059;11186216;6989
27990062;11186216;576
27990112;11186216;2624
27990263;11186216;2565
27990461;11186216;945
27990514;11186391;4553
27990548;11186404;4910
27990610;11186427;3045
27990800;11186427;5288
27990815;11186509;8029
27994493;10001188;1137
27999431;11190078;818
27999746;11190215;4451
27999838;11190215;5574
27999992;11190308;235
28000007;11190308;7446
28000036;11190330;243
28000067;11190330;3091
28000100;11190330;1344
28000154;11190383;1508
28000211;11190404;5816
28000216;11190404;3348
28000230;11190411;1811
28000308;11190449;6575
28000315;11190449;5776
28000363;11190468;5477
28000466;11190510;2489
28000526;11190531;6168
28000640;11190577;3592
28000662;11190577;1234
28000730;11190616;4866
28000769;11190616;2490
28001105;11190782;1292
28001124;11190782;2561
28001554;11190974;1919
28001583;11190986;6452
28001646;11190986;3618
28001773;11191068;776
28001964;11191154;7889
28002012;11191171;4851
28002195;11191239;6640
28002198;11191239;8092
28002224;11191239;1510
28002270;11191267;8195
28002354;11191267;5626
28002356;11191267;1941
28002375;11191305;1749
28002424;11191324;1279
28002426;11191325;6977
28002614;11191403;7891
28002654;11191403;4315
28002666;11191403;2468
28002687;11191403;477
28002762;11191403;6845
28002767;11191465;5459
28002838;11191492;4941
28002999;11191574;6121
28003074;11191603;8066
28003079;11191605;7989
28003137;11191605;2313
28003163;11191632;5204
28003207;11191652;2505
28003210;11191652;4569
28003282;11191688;7062
28003401;11191738;635
28003439;11191755;4942
28003442;11191755;2525
28003610;11191822;642
28003642;11191840;7017
28003651;11191840;6569
28003703;11191840;7124
28003786;11191902;3551
28004194;11192083;6168
28004333;11192146;6945
28004377;11192164;1101
28004504;11192218;8104
28004613;11192258;6749
28004636;11192269;4563
28004700;11192269;567
28006330;11192977;1839
28006759;11193167;1892
28006762;11193167;5244
28007012;11193275;4950
28007165;11193336;123
28007269;11193377;7641
28007279;11193377;4887
28007298;11193377;849
28007453;11193448;1803
28007504;11193471;5119
28007542;11193471;1669
28007687;11193547;8116
28007750;11193572;6759
28008820;11194003;4789
28013023;11195773;1224
28013026;11195773;4016
28013036;11195779;4700
28013322;11195904;4490
28013456;11195957;5573
28013648;11196044;2776
28013766;11196092;261
28013771;11196095;489
28013772;11196095;3138
28013800;11196106;6788
28013954;11196161;1353
28014017;11196187;2630
28014018;11196187;4195
28014067;11196205;6805
28014101;11196219;7520
28014206;11196263;3577
28014226;11196263;4804
28014305;11196304;6225
28014328;11196314;6233
28014335;11196314;1328
28014380;11196339;3232
28014458;11196378;1924
28014490;11196387;2997
28014530;11196405;6107
28014699;11196470;3874
28014719;11196476;2190
28014720;11196476;5849
28014846;11196521;4434
28014922;11196521;6264
28014965;11196573;7293
28015056;11196611;6165
28015058;11196612;4304
28015111;11196637;6312
28015133;11196637;4070
28015219;11196679;3493
28015258;11196702;2012
28015287;11196702;5878
28015470;11196798;6386
28015493;11196806;6224
28015615;11196857;4048
28015656;11196875;1981
28015660;11196875;4755
28015685;11196875;626
28015699;11196875;3488
28015730;11196875;5417
28015734;11196909;5287
28016008;11197014;6267
28016030;11197014;2717
28016080;11197014;6361
28016090;11197014;6995
28016113;11197062;2822
28016123;11197062;1214
28016135;11197062;7677
28016179;11197062;2993
28016209;11197062;4059
28016218;11197062;3695
28016257;11197120;4820
28016263;11197121;5074
28016265;11197121;8246
28029583;11202692;4387
28029585;11202692;7841
28032718;10012040;668
28040520;11207247;6169
28040722;11207330;157
28040815;11207364;1926
28041030;11207458;1233
28041044;11207458;1176
28041601;11207681;3225
28042057;11207873;5673
28042058;11207874;7218
28042128;11207902;1023
28042353;11207999;946
28042464;11208056;4961
28042620;11208056;6984
28042621;11208119;5898
28042700;11208119;1558
28042735;11208119;3200
28042759;11208187;1092
28042958;11208262;4590
28042974;11208270;4264
28043040;11208270;200
28043134;11208332;722
28043429;11208451;3887
28043468;11208469;3334
28043470;11208469;3079
28043482;11208469;5308
28043550;11208501;2561
28043581;11208514;1532
28043608;11208514;1393
28043620;11208514;7174
28044799;10012090;6599
28044950;10012090;1652
28050439;11211368;3085
28052612;11212271;6513
28052666;11212271;535
28054641;11213130;1616
28054886;11213238;5990
28054890;11213238;6885
28054961;11213272;7692
28055183;11213367;1080
28055203;11213367;3554
28055212;11213377;1235
28055393;11213459;2159
28055577;11213537;563
28055614;11213537;2124
28055615;11213553;633
28055654;11213567;7909
28056009;11213712;4309
28056019;11213718;4402
28056020;11213718;7553
28056104;11213755;7775
28056208;11213801;4655
28056248;11213815;3048
28056286;11213815;7316
28056508;11213931;5409
28056593;11213967;2680
28056745;11214020;1650
28056943;11214102;304
28057191;11214194;1429
28057223;11214194;7811
28057229;11214212;6389
28057242;11214216;462
28057243;11214217;7282
28057665;11214389;5043
28057670;11214389;2255
28057696;11214399;5990
28057775;11214399;6405
28057801;11214436;3560
28057908;11214483;949
28058074;11214555;44
28058278;11214636;2090
28058327;11214657;7693
28058490;11214721;5574
28058491;11214721;1044
28058580;11214721;4094
28058745;11214826;8063
28058806;11214852;4999
28059022;11214938;3301
28059067;11214938;2077
28059227;11215029;688
28059862;11215303;7112
28059957;11215337;5727
28060293;11215482;1467
28060376;11215482;4742
28060502;11215564;7280
28060534;11215564;2731
28060546;11215564;354
28060637;11215624;7029
28060704;11215624;2306
28060725;11215655;7334
28060899;11215724;2184
28060916;11215724;3797
28060956;11215746;849
28060978;11215746;311
28061308;11215899;3144
28061370;11215899;6480
28061401;11215948;4762
28061994;11216190;2349
28062355;11216334;192
28062392;11216352;3058
28062448;11216352;955
28062501;11216352;3592
28062532;11216410;7156
28062600;11216410;6902
28062680;11216475;7239
28062710;11216475;1871
28062722;11216475;5282
28062838;11216475;3372
28062908;11216567;5814
28062931;11216575;1712
28062972;11216592;2574
28062975;11216592;7096
28063019;11216592;2523
28063117;11216647;6712
28063135;11216647;591
28063219;11216686;1346
28063340;11216738;5095
28063487;11216806;2924
28063499;11216806;5425
28063504;11216818;2492
28063507;11216818;1905
28063675;11216890;1065
28063720;11216890;4618
28063751;11216890;1428
28064025;11217036;5779
28064603;11217272;4805
28064630;11217272;6034
28064662;11217272;8008
28064757;11217340;370
28065005;11217443;1144
28065053;11217461;1765
28065064;11217461;7059
28065224;11217531;6482
28065283;11217531;7405
28065431;11217618;1681
28065458;11217618;4945
28065487;11217645;2318
28065562;11217676;8251
28065952;11217845;3645
28066024;11217875;3751
28066046;11217883;921
28066283;11217992;3118
28066305;11218001;3036
28066385;11218035;2553
28066424;11218035;1218
28066444;11218060;2434
28066461;11218067;1593
28066595;11218117;5007
28066634;11218136;7561
28066649;11218136;3825
28066655;11218147;4460
28066717;11218173;3896
28066737;11218180;5011
28066850;11218221;1165
28066877;11218231;1487
28067082;11218316;2299
28067133;11218316;5760
28067172;11218351;1420
28067228;11218377;2494
28067254;11218377;5994
28067417;11218377;1619
28067516;11218491;2872
28067586;11218491;7622
28067594;11218491;4660
28067618;11218532;4064
28067672;11218532;6188
28067699;11218532;1196
28067700;11218570;6510
28067721;11218580;2976
28067739;11218587;4228
28067802;11218587;3830
28067824;11218628;1062
28067830;11218631;8031
28068008;11218710;7430
28068055;11218735;2281
28068084;11218735;7288
28068217;11218804;8250
28068237;11218804;3082
28068244;11218804;5017
28068348;11218855;5057
28068412;11218881;5633
28068426;11218881;3366
28068454;11218881;4977
28068465;11218907;10
28068638;11218907;6719
28068698;11219002;2495
28068880;11219078;5557
28068972;11219107;1715
28069027;11219128;1604
28069259;11219218;7092
28069261;11219218;4053
28069277;11219218;4109
28069593;11219352;5072
28069665;11219375;4843
28069710;11219395;1839
28069741;11219395;5697
28069883;11219477;4252
28070016;11219524;4145
28070036;11219531;3277
28070215;11219605;6276
28070271;11219605;6209
28070310;11219605;3461
28070324;11219605;3917
28070574;11219752;1158
28070617;11219752;4429
28070671;11219752;5956
28070680;11219752;2529
28070736;11219814;3874
28070753;11219822;6396
28070781;11219831;7362
28070936;11219894;4705
28070959;11219894;955
28070960;11219894;4116
28071090;11219952;1638
28071120;11219952;5081
28071152;11219977;5580
28071178;11219988;6108
28071181;11219990;3072
28071293;11220034;1093
28071301;11220040;5097
28071423;11220090;6009
28071437;11220090;267
28071522;11220133;8132
28071529;11220133;2402
28071613;11220133;385
28071745;11220133;4820
28071888;11220287;21
28071955;11220310;4415
28072003;11220326;1144
28072088;11220360;1772
28072129;11220360;908
28072160;11220394;2824
28072292;11220450;8117
28072308;11220450;866
28072337;11220472;576
28072472;11220537;7612
28072762;11220660;8043
28072916;11220723;5925
28072973;11220723;6622
28073017;11220763;7871
28073241;11220763;6625
28073264;11220763;6718
28073295;11220763;1718
28073318;11220891;5120
28073331;11220897;3171
28074048;11221202;7847
28074201;11221263;4621
28074557;11221418;5021
28074775;11221507;2966
28074921;11221507;3045
28075042;11221628;2455
28075114;11221628;2183
28075228;11221698;1676
28075319;11221741;648
28075339;11221741;6332
28075345;11221754;7987
28075388;11221772;2091
28075418;11221772;7231
28075487;11221813;8185
28075533;11221813;869
28075560;11221813;4964
28075563;11221813;1496
28075641;11221880;6913
28075905;11221986;312
28075937;11221986;7578
28075955;11221986;2333
28075990;11221986;4586
28076004;11221986;7329
28076062;11221986;7447
28076207;11222105;6986
28076228;11222105;4957
28076242;11222117;1011
28076279;11222133;6894
28076311;11222133;3482
28076345;11222167;1649
28076391;11222180;2526
28076441;11222199;2362
28076442;11222199;5356
28076868;11222381;8089
28077071;11222473;4553
28077245;11222542;6869
28077279;11222542;4016
28077306;11222566;5150
28077349;11222566;2929
28077684;11222715;7250
28077702;11222715;2012
28077902;11222796;2937
28078027;11222796;7299
28078260;11222936;4698
28078328;11222967;513
28078340;11222967;4700
28078408;11222967;6237
28078436;10012230;2372
28078534;11223057;2747
28078570;11223057;1036
28078579;11223057;5187
28078591;11223083;6681
28078602;11223083;5194
28078611;11223094;6724
28078830;11223181;4974
28078856;11223194;4060
28078944;11223194;3035
28079052;11223277;3364
28079072;11223286;2481
28079162;11223326;592
28079201;11223339;667
28079227;11223352;5201
28079274;11223352;5671
28079319;11223389;8221
28079359;11223406;7240
28079368;11223410;1418
28079429;11223410;6486
28079446;11223410;5738
28079695;11223539;1941
28079902;11223625;6700
28079945;11223646;5321
28080058;11223685;5589
28080190;11223741;7816
28080318;11223793;363
28080339;11223803;3787
28080400;11223828;977
28080423;11223835;2561
28080506;11223869;309
28080509;11223869;5517
28080585;11223901;2118
28080658;11223901;1557
28080686;11223940;265
28080734;11223957;2497
28080779;11223957;7118
28080954;11224055;2658
28080987;11224055;4754
28081007;11224055;3108
28081011;11224055;3756
28081037;11224055;7340
28081086;11224109;5241
28081095;11224109;1503
28081141;11224135;2599
28081161;11224145;5608
28081205;11224168;6543
28081337;11224227;823
28081372;11224247;2953
28081400;11224247;6377
28081409;11224247;5874
28081432;11224273;2542
28081498;11224301;7345
28081775;11224411;1023
28081829;11224440;2636
28081877;11224458;2564
28082169;11224584;775
28082376;11224584;1721
28082422;11224584;1330
28082521;11224584;82
28082522;11224584;3398
28082587;11224773;5335
28082627;11224773;2084
28082648;11224773;6197
28082747;11224835;3734
28082796;11224855;1288
28082920;11224855;7850
28082984;11224924;6702
28083030;11224924;5098
28083118;11224924;4110
28083241;11225017;1335
28083295;11225038;4706
28083372;11225069;58
28083416;11225069;6519
28083457;11225109;3115
28083465;11225111;2161
28083487;11225111;2313
28083586;11225157;3630
28083623;11225170;250
28083910;11225285;458
28084082;11225363;5878
28084179;11225403;7731
28084233;11225429;5085
28084238;11225431;3225
28084253;11225440;6018
28084283;11225440;6919
28084388;11225496;4359
28084545;11225551;6212
28084575;11225551;525
28084576;11225551;896
28084604;11225576;3960
28084698;11225623;676
28085108;11225802;4962
28085142;11225802;4265
28085174;11225802;1880
28085252;11225802;3513
28085392;11225924;3721
28085489;11225924;7088
28085538;11225993;5436
28085806;11226107;621
28085846;11226122;1312
28086160;11226250;5180
28086213;11226250;5060
28086223;11226250;1961
28086238;11226250;7854
28086254;11226287;2786
28086490;11226396;7343
28086567;11226424;1262
28086633;11226453;7247
28086748;11226453;5370
28086777;11226453;5799
28086830;11226538;6267
28086833;11226539;7040
28086877;11226559;2624
28087092;11226650;5244
28087128;11226650;1856
28087137;11226650;2511
28087141;11226650;2378
28087164;11226650;3244
28087180;11226688;73
28087245;11226712;7732
28087260;11226712;5166
28087273;11226712;6307
28087374;11226766;2836
28087403;11226766;3092
28087463;11226805;798
28087507;11226805;3271
28087629;11226864;3753
28087727;11226903;1400
28087817;11226903;2721
28087822;11226938;1420
28087827;11226938;1964
28087878;11226938;1232
28087920;11226984;1002
28087982;11227006;6406
28087997;11227006;8002
28088461;11227215;6571
28088825;11227363;16
28088899;11227363;2548
28088970;11227363;7202
28088977;11227363;5091
28089044;11227448;4803
28089212;11227520;4165
28089257;11227536;3489
28089285;11227553;6251
28089323;11227567;899
28089352;11227567;5926
28089357;11227567;5348
28089369;11227584;5704
28089459;11227618;233
28089461;11227618;3310
28089482;11227626;6668
28089766;11227736;3359
28089825;11227757;8060
28089992;11227824;309
28090003;11227827;574
28090047;11227846;235
28090111;11227875;2349
28090120;11227875;30
28090173;11227905;7444
28090196;11227914;2495
28090337;11227966;4050
28090358;11227976;3113
28090377;11227976;4543
28090393;11227992;536
28090419;11228004;519
28090576;11228071;180
28090616;11228089;7407
28090652;11228102;3434
28090791;11228159;4782
28090828;11228159;1797
28090831;11228177;26
28090845;11228182;2128
28090919;11228182;7380
28090923;11228212;24
28090937;11228212;6993
28090955;11228226;1190
28090975;11228226;1217
28091061;11228282;841
28091294;11228381;1525
28091311;11228386;6633
28091329;11228394;3607
28091378;11228394;6979
28091436;11228438;7982
28091581;11228494;5977
28091845;11228608;2246
28091880;11228621;3018
28091911;11228638;1624
28092101;11228713;6616
28092103;11228714;3373
28092111;11228717;7367
28092120;11228717;4775
28092136;11228717;4313
28092324;11228810;5110
28092417;11228843;7665
28092424;11228846;1422
28092483;11228873;6980
28092516;11228873;7759
28092551;11228873;114
28092571;11228913;2436
28092619;11228932;2945
28092799;11228997;3200
28092832;11229011;4452
28092834;11229011;960
28092874;11229011;5918
28092942;11229056;6568
28092999;11229085;1908
28093074;11229085;7580
28093087;11229128;6602
28093147;11229156;4836
28093190;11229172;2322
28093350;11229234;3801
28093390;11229234;2674
28093406;11229257;7543
28093441;11229257;2483
28093512;11229292;5918
28093521;11229296;3012
28093538;11229296;5619
28093544;11229308;5270
28093554;11229312;1170
28093584;11229312;1446
28094217;11229607;3983
28094231;11229607;7003
28094256;11229619;2454
28094317;11229619;4313
28094321;11229651;7558
28094357;11229663;1873
28094398;11229686;7477
28094522;11229737;5542
28094615;11229777;7560
28094773;11229844;1071
28094855;11229876;4871
28094870;11229876;3472
28094944;11229876;5207
28095146;11229989;3240
28095214;11230021;3011
28095215;11230021;2819
28095217;11230021;1897
28095251;11230034;3763
28095309;11230034;7187
28095381;11230085;5073
28095445;11230109;7196
28095457;11230114;5709
28095470;11230114;703
28095503;11230131;3123
28095548;11230147;6037
28095607;11230170;326
28095668;11230170;7519
28095698;11230170;2308
28095700;11230170;6161
28095719;11230170;3864
28095727;11230219;1334
28095728;11230219;3071
28095730;11230219;4190
28095768;11230238;4893
28096190;11230422;6816
28096244;11230422;5284
28101953;11232784;6841
28101992;11232800;2290
28102030;11232818;6568
28102087;11232840;1631
28102097;11232843;4566
28102110;11232851;1450
28102381;11232965;2086
28102447;11232965;3842
28102611;11233048;4344
28102795;11233121;889
28102812;11233129;1958
28102912;11233171;4044
28102959;11233190;6814
28102964;11233192;2507
28103113;11233253;1249
28103322;11233333;7506
28103441;11233378;4537
28103671;11233470;5195
28103698;11233470;614
28103703;11233470;7843
28105291;11234163;7942
28105581;11234278;4066
28105687;11234311;1902
28105725;11234311;3925
28105743;11234311;2797
28105898;11234401;3791
28105998;11234441;1748
28106095;11234487;6695
28106143;11234505;2448
28106239;11234546;1108
28106265;11234546;441
28106293;11234546;407
28106331;11234587;2258
28106571;11234678;3166
28106584;11234678;3244
28106589;11234678;2634
28106651;11234707;7147
28106748;11234757;5598
28106823;11234791;5893
28106831;11234794;3745
28106928;11234833;2521
28106939;11234833;7794
28106967;11234848;2597
28106993;11234848;8059
28107032;11234848;8034
28107034;11234848;1195
28107182;11234935;7880
28107191;11234935;3800
28107251;11234935;6257
28107359;11235011;3775
28107448;11235050;8039
28107483;11235067;273
28107559;11235102;3249
28107732;11235172;2339
28107772;11235189;3599
28107787;11235189;7359
28107791;11235189;158
28107852;11235215;5158
28107869;11235222;1940
28108046;11235292;2721
28108102;11235315;2629
28108133;11235327;7729
28108199;11235327;2116
28108218;11235327;5940
28108384;11235433;4803
28108429;11235454;5909
28109221;11235766;7921
28109235;11235766;5551
28109322;11235810;343
28109667;11235946;7090
28109739;11235946;2669
28110423;11236253;2945
28110654;11236359;2385
28110675;11236359;1575
28111216;11236580;2655
28111218;11236580;5025
28111556;11236716;3666
28111563;11236716;4124
28111893;11236846;5769
28112246;11236981;4156
28112288;11236981;5858
28112304;11237005;3064
28112406;11237005;906
28112480;11237005;4294
