NO;LOCATIONNO;ORIGINALHHID
10162788;410215;4295
10162835;410255;268
10163007;410268;2764
10163028;410289;4278
10163078;410314;3882
10163092;411018;1103
10163566;411224;1759
10163581;411376;1221
10164132;411436;1601
10164274;411512;1862
10164526;411561;2687
10164538;411622;4100
10164813;411865;5076
10164956;411876;2780
10165051;411942;2320
10165149;412023;2686
10165255;412075;2757
10166037;412095;2551
10166060;412189;1701
10166323;412239;1620
10166369;412422;4120
10166535;412786;3346
10166684;412879;2616
10166809;412938;4806
10167032;413074;1697
10167422;413109;2109
10167605;413188;1992
10167626;413230;622
10167672;413388;2154
10167813;413552;3389
11000039;413609;4704
11000065;414093;3634
11000154;414467;1788
11000165;414522;3974
11000172;414708;257
11000179;414710;2322
11000183;414844;4916
11000217;414928;850
11000241;414997;4178
11000303;415159;905
11000317;415172;1495
11000342;415274;2869
11000361;415349;2119
11000443;415592;5015
11000472;415627;4863
11000491;415680;5170
11000539;415716;4321
11000553;415758;1174
11000562;415815;4978
11000587;415893;3253
11000684;415966;285
11000690;416063;4016
11000738;416252;1885
11000747;416322;1578
11000760;416556;4643
11000774;416588;1205
11000776;416596;3283
11000795;416600;3984
11000826;416725;3683
11000829;416774;4335
11000857;416835;579
11000865;416861;1151
11000883;416885;2582
11000893;416932;3949
11000906;416951;3414
11000946;416955;4461
11000967;416986;700
11001006;417113;3740
11001050;417244;262
11001062;417301;1975
11001069;417374;2066
11001074;417658;1646
11001104;417696;1645
11001159;417991;4386
11001162;418040;2233
11001169;418826;1995
11001180;418900;3843
11001203;418902;2737
11001268;419002;2667
11001395;419038;183
11001401;419119;1070
11001402;419305;3856
11001453;419326;1243
11001532;419497;4446
11001546;419602;4594
11002600;423609;3244
11002694;424050;2982
11003394;426069;1446
11003646;426701;610
11004519;429402;2975
11004702;430467;4251
11005304;432823;1922
11005366;432827;2056
11005368;432922;1647
11005458;433091;3476
11005467;433110;4649
11005496;433120;3476
11005522;433178;4631
11005549;433246;4785
11005574;433323;4144
11005584;433334;2466
11005635;433761;4855
11005656;433763;915
11005698;433853;1974
11005774;434304;200
11005816;434316;2828
11005831;434398;2922
11005834;434458;915
11005878;434655;4660
11005909;434771;938
11005929;434810;4054
11005934;434811;3831
11005946;434856;821
11005961;434875;3535
11005964;434949;765
11005974;435008;3844
11005977;435025;1338
11005992;435189;4721
11006053;435211;1449
11006074;435267;2559
11006075;435307;2894
11006196;435439;3832
11006228;435537;3009
11006239;435647;943
11006330;435742;3628
11006356;435754;3218
11006377;435797;4250
11006398;435940;3231
11006407;436016;3326
11006427;436067;4488
11006484;436124;482
11006583;436187;4109
11006606;436313;2964
11006608;436520;1256
11006629;436521;1412
11006690;436522;3204
11006766;436666;967
11006803;436731;2138
11006891;437089;426
11006899;437204;1470
11006990;437266;1941
11007071;437380;4141
11007098;437391;763
11007100;437558;1374
11007128;437596;3681
11007133;437680;3951
11007321;437832;5144
11007354;437853;212
11007388;438189;2142
11007397;438190;5176
11007400;438228;3319
11007504;438253;3663
11007517;438282;2634
11007600;438307;718
11007612;438318;286
11007645;438442;874
11007646;438521;3007
11007680;438741;2284
11007685;438784;229
11007727;438956;2932
11007728;438972;1731
11007735;438994;3454
11007755;439206;4322
11007778;439352;3495
11007916;439393;4834
11007951;439481;4426
11007982;439538;4690
11007988;439616;3090
11007996;439646;4322
11008039;439668;3922
11008089;439710;160
11008121;439721;1842
11008184;439728;2027
11008195;439755;78
11008204;439867;1477
11008215;439973;3702
11008231;439986;2694
11008240;440108;2776
11008249;440213;2016
11008303;440305;1331
11008351;440635;1840
11008414;440655;258
11008514;440996;252
11008515;441049;476
11008545;441107;2757
11008547;441135;1600
11008561;441361;2702
11008586;441440;1370
11008597;441479;5134
11008615;441587;1813
11008634;441629;1119
11008730;441833;3259
11008749;441847;1464
11008807;441888;4373
11008816;442005;1365
11008893;442493;4738
11008949;442571;4729
11009000;442578;4537
11009006;442601;4066
11009013;442679;1584
11009022;442707;2745
11009050;442837;3761
11009089;442898;582
11009108;442981;3275
11009145;443267;2891
11009163;443292;3500
11009164;443321;2704
11009175;443473;4130
11009620;444359;2371
11009636;444409;2446
11009655;444470;1102
11009658;444472;1184
11009756;444548;4181
11009787;444727;247
11009791;444774;3654
11009848;444846;4127
11009930;444895;1154
11009944;444971;724
11009945;445004;3089
11009967;445089;5016
11009994;445146;3741
11010185;445154;5049
11010188;445155;3760
11010227;445347;4765
11010265;445355;4542
11010325;445553;838
11010337;445689;1089
11010360;445699;3820
11010375;445802;3703
11010392;445876;3483
11010425;445926;3793
11010534;446020;1356
11010555;446106;772
11010616;446208;52
11010625;446222;153
11010701;446289;2065
11010724;446356;4096
11010732;446551;574
11010743;446675;189
11010775;446682;4353
11010835;446812;3368
11010872;446898;3828
11010911;446927;1070
11011053;447383;1351
11011074;447441;3301
11011130;447548;4344
11011141;447744;3383
11011263;447762;1726
11011330;447777;1966
11011381;447832;1190
11011383;447862;1137
11011388;447880;2054
11011400;447938;1892
11011409;448030;2003
11011413;448082;894
11011415;448121;1776
11011462;448142;2739
11011469;448151;3106
11011470;448349;3618
11011498;448436;1401
11011508;448548;3198
11011523;448653;4450
11011529;448720;1647
11011543;448743;4502
11011562;448843;3874
11011599;448855;4577
11011605;448945;1630
11011610;448970;785
11011621;449148;5061
11011624;449249;898
11011644;449350;673
11011647;449522;1851
11011660;449582;4645
11011722;449954;2436
11011762;450477;4208
11011806;450530;2055
11011862;450573;2
11011888;450825;501
11011891;450973;264
11011900;451094;3102
11011904;451100;133
11011925;451118;1336
11011926;451219;757
11011927;451271;90
11011929;451359;4929
11012032;451418;479
11012053;451453;2305
11012055;451750;4244
11012093;452213;4944
11012119;452326;2643
11012131;452376;3824
11012168;452378;2937
11012181;452417;594
11012226;452570;181
11012230;452684;3603
11012327;452857;787
11012345;453045;2843
11012431;453133;159
11012443;453489;877
11012501;453634;4511
11012539;453680;4475
11012551;453775;4575
11012563;453959;254
11012577;454051;3538
11012583;454064;1304
11012604;454068;2000
11012606;454110;791
11012617;454120;1322
11012645;454123;4041
11012710;454152;5008
11012744;454387;510
11012794;454396;4062
11012825;454453;3394
11012844;454497;5040
11012869;454660;1294
11012889;454702;3963
11012907;454752;360
11012952;454765;2253
11012996;454781;1959
11013021;454835;2048
11013083;454863;3794
11013114;454934;2047
11013132;454998;819
11013136;455080;1112
11013146;455134;4935
11013184;455146;776
11013216;455190;799
11013241;455283;2417
11013283;455450;586
11013422;455588;3163
11013434;455822;3826
11013463;455967;1151
11013572;456396;584
11013592;456463;392
11013608;456542;3873
11013632;456592;4514
11013635;456943;4097
11013665;457007;3364
11013683;457044;3849
11013716;457187;4993
11013720;457209;3415
11013722;457212;955
11013734;457364;2058
11013778;457442;1415
11013839;457491;4145
11013844;457501;1881
11013858;457649;3061
11013867;457687;4189
11014059;459381;1894
11014661;461811;3300
11014733;462144;2356
11014783;462162;3469
11014867;462184;1192
11014891;462357;1380
11014897;462602;1227
11014938;463178;1796
11014988;463468;470
11015010;463553;3906
11015049;463574;795
11015063;463671;3179
11015076;463725;3027
11015082;463726;5047
11015124;463885;1395
11015131;463910;4898
11015161;464311;2375
11021555;482962;833
11022689;486804;4567
11022744;487309;714
11022811;487310;2537
11022840;487518;136
11022862;487570;602
11022904;487747;3625
11022913;487855;4110
11022925;487877;1215
11022936;488063;1838
11022944;488244;3587
11023072;488391;1097
11023136;488517;4883
11023142;488536;671
11023150;488675;3099
11023171;488759;510
11023202;488970;3762
11023236;489118;5044
11023245;489136;291
11023302;489387;2067
11023325;489404;335
11023396;489562;4098
11023415;489612;3331
11023439;489623;4776
11023462;489795;2427
11023470;489841;3564
11023477;489902;2008
11023532;490048;4752
11023548;490111;1151
11023552;490141;2355
11023561;490336;3756
11023568;490592;4510
11023614;490627;3399
11023640;490764;3063
11023641;490883;4961
11023650;491050;790
11023768;491231;159
11023770;491378;2042
11023828;491518;872
11023843;491521;1777
11023898;491645;1059
11023899;491668;2542
11023948;491844;2245
11024041;491885;4958
11024097;491920;1923
11024130;491980;4692
11024195;492133;2363
11024220;492142;4166
11024265;492231;4431
11024271;492302;1737
11024273;492342;260
11024298;492476;2698
11024302;492525;3852
11024329;492654;711
11024786;493889;4014
11027123;500381;1069
11028047;504612;3481
11029155;508400;562
11029194;508558;3232
11029202;508625;632
11029227;508626;320
11029302;508646;809
11029310;508682;4881
11029325;508837;3359
11029391;508866;703
11029406;508923;588
11031801;515713;3933
11031933;516569;3176
11031982;516616;263
11032080;516647;1638
11032661;518752;966
11032693;518769;3000
11032705;518949;2114
11032736;519031;4480
11032767;519319;4770
11032804;519371;2788
11032899;519655;2458
11032935;519663;3306
11032940;519700;4094
11033019;519778;1529
11033057;519787;3598
11033063;519796;4536
11033074;519925;3427
11033079;519995;3081
11033104;520233;2447
11033107;520274;2880
11033130;520329;2441
11033146;520385;414
11033195;520519;343
11033201;520544;1693
11033205;520728;5032
11033211;520864;3092
11033227;520892;2363
11033247;520960;1550
11033274;521153;3769
11033280;521325;3563
11033351;521427;2960
11033366;521451;3527
11033367;521505;4671
11033445;521812;4514
11033462;522019;3918
11033463;522025;4394
11033492;522049;3255
11033506;522074;4699
11033563;522129;4211
11033614;522170;3092
11033620;522196;2466
11033643;522313;720
11033668;522611;3027
11033686;522758;523
11033745;522816;1267
11033770;522852;3002
11033789;522941;155
11033792;523083;467
11033934;523108;1589
11033955;523143;627
11033983;523240;904
11033997;523308;2549
11034006;523334;3423
11034014;523401;1061
11034015;523451;337
11034068;523541;1907
11034095;523963;4423
11034122;524057;3628
11034176;524308;3712
11034188;524339;5166
11034195;524384;5015
11034260;524388;2621
11034281;524837;2983
11034687;525451;98
11034824;525802;2763
11034847;525865;2596
11035702;528840;584
11035722;528970;1381
11035755;529046;264
11035765;529161;4635
11035773;529206;3119
11035786;529219;1083
11035788;529486;5085
11035842;529651;2317
11035845;529713;3271
11035856;529790;2202
11035886;529862;3897
11035916;529898;1240
11035923;530086;2690
11035934;530109;971
11035968;530172;1950
11035974;530175;201
11035992;530187;222
11036044;530217;1870
11036049;530283;374
11036055;530287;1472
11036100;530358;3275
11036147;530368;3844
11036165;530526;1777
11036168;530695;795
11036217;530701;1273
11036235;530721;2061
11036267;530961;773
11036277;531097;576
11036332;531143;2539
11036421;531333;3598
11036427;531418;2192
11036462;531490;5174
11036470;531551;2768
11036479;531788;1949
11036535;531835;1720
11036604;532069;2634
11036616;532240;4336
11036641;532244;2203
11036699;532299;2689
11036713;532350;2172
11036737;532469;3511
11036744;532683;2667
11036778;532772;1909
11036898;532791;491
11036930;532801;1296
11036967;532827;2256
11036973;532833;909
11036984;533001;2946
11037016;533034;2364
11037031;533076;1953
11037043;533282;3425
11037101;533542;4705
11037136;533661;3998
11037140;533771;4289
11037153;533865;4534
11037234;533952;4122
11037252;534168;3964
11037263;534169;854
11037286;534194;1958
11037300;534309;4331
11037408;534443;2809
11037486;534552;2544
11037494;534597;1326
11037567;534726;172
11037587;534768;1463
11037603;534807;132
11037613;534927;3227
11037683;534947;142
11037698;534972;1823
11037731;534989;3753
11037750;534998;1826
11037773;535001;1855
11037791;535061;145
11037801;535070;746
11037826;535076;2484
11039074;539298;1559
11039091;539611;4877
11039106;539726;3488
11039131;539816;4973
11039201;539996;2771
11039221;539997;4595
11039255;540040;4294
11039264;540198;4391
11039341;540199;1583
11039422;540203;781
11039443;540337;85
11039496;540418;3897
11039525;540426;976
11039540;540442;112
11039628;540604;3909
11039741;540656;1558
11039765;540664;4014
11039783;540710;2175
11039794;540766;225
11039823;540881;3755
11039825;540897;1929
11039858;541149;3646
11039892;541312;349
11039978;541328;2864
11039994;541371;1699
11040017;541418;3338
11040027;541480;3252
11040097;541493;30
11040101;541511;171
11040127;541647;1763
11043152;551976;121
11044900;557521;2009
11045248;558712;5090
11048408;569666;2256
11050676;578234;1203
11051034;578856;439
11051499;580352;4992
11058982;601574;4943
11059063;601935;710
11060904;607875;3435
11061843;610424;1041
11062020;611440;2521
11062029;611741;2031
11062058;611819;775
11062075;611954;1076
11062086;612138;602
11062092;612237;3177
11062097;612440;4996
11062130;612485;4804
11062158;612630;4454
11062159;612825;2068
11062197;612882;4714
11062273;613016;3885
11062309;613126;918
11062327;613372;155
11062415;613534;1279
11062437;613595;1320
11062462;613644;1204
11062488;613715;3817
11062524;613735;134
11062571;613847;1591
11062577;613898;2080
11062614;613999;2768
11062624;614157;3972
11062627;614360;3518
11062629;614532;4915
11062678;614602;1117
11062750;614852;1023
11062752;614859;4387
11062761;614878;2169
11062792;614987;758
11062805;615078;4599
11062836;615113;100
11062865;615140;1830
11062910;615179;1255
11062915;615243;3837
11062981;615328;5041
11062987;615454;2949
11063003;615509;1479
11063022;615694;1063
11063038;615755;1028
11063057;615889;2335
11063067;615913;2891
11063070;615918;3842
11063116;615950;1395
11063137;615952;4877
11063333;616072;2035
11063347;616142;1223
11063364;616247;4134
11063382;616287;1092
11063419;616288;353
11063438;616516;1219
11063443;616655;1365
11063461;616734;296
11063477;616835;4876
11063503;617021;4535
11063672;617110;340
11063695;617156;5007
11063711;617170;4748
11063761;617210;715
11063777;617474;89
11063786;617613;1533
11063843;618174;268
11063863;618187;966
11063905;618210;333
11063961;618273;3499
11064021;618390;666
11064045;618513;2583
11064046;618605;3598
11064139;618677;3513
11064147;618860;3834
11064149;619135;4355
11064202;619210;4770
11064240;619258;4440
11064258;619322;1874
11064259;619364;3908
11064303;619402;5127
11064314;619531;4144
11064363;619601;4042
11064415;619764;2518
11064456;619900;3192
11064513;619916;891
11064532;619941;1100
11064559;619975;4782
11064600;620249;615
11064630;620502;3066
11064639;620515;2726
11064660;620590;1021
11064663;620770;3850
11064716;620913;4422
11064731;620997;2137
11064870;621228;4746
11064883;621229;5151
11064917;621275;1635
11064958;621383;3045
11065046;621462;3701
11065055;621488;1169
11065076;621604;4531
11065116;621741;953
11065182;621792;2701
11065204;621908;136
11065241;621996;2404
11065247;622058;3484
11065253;622086;3430
11065260;622179;5
11065262;622202;2455
11065302;622211;1210
11065329;622280;351
11065336;622487;1252
11065344;622517;993
11065424;622554;4603
11065440;622582;2328
11065458;622746;447
11065557;622797;4866
11065569;622835;2416
11065578;622874;4664
11065584;623017;1359
11065593;623074;3277
11065739;623289;2392
11065770;623537;4379
11065793;623641;770
11065803;623668;1626
11065816;623708;3160
11065817;623868;4623
11065822;623899;1241
11065878;623986;704
11066009;624007;3113
11066011;624180;3907
11066098;624323;5133
11066103;624481;198
11066136;624601;3080
11066154;624714;3934
11066185;624745;812
11066192;624759;1554
11066207;624835;4564
11066213;624842;4874
11066257;624868;4018
11066270;624984;2163
11066288;625026;236
11066297;625162;4757
11066322;625326;4285
11066386;625355;946
11066437;625536;4029
11066444;625645;951
11070498;640227;2509
11070590;640970;3511
11071032;643016;3729
11071083;643103;535
11071095;643296;2996
11071236;643533;4018
11071249;643561;45
11071270;643641;543
11071290;643956;3160
11071291;644102;2804
11071413;644138;3699
11071417;644417;3009
11071513;644648;670
11071545;644981;2143
11071594;645006;2748
11071598;645320;639
11071616;645395;2557
11071626;645408;1936
11071653;645492;4440
11071666;645512;1546
11071680;645567;4358
11071707;645935;4619
11071709;646019;1850
11071728;646165;2133
11071730;646191;2981
11071734;646232;125
11071749;646254;498
11071800;646436;2120
11071820;646653;1356
11071837;646738;2614
11071877;646810;5088
11071900;646871;2729
11072097;647136;2051
11072122;647144;2814
11072131;647169;2414
11072196;647178;1179
11072214;647184;3110
11072261;647195;1474
11072294;647257;392
11072314;647281;1427
11072342;647311;2428
11072376;647313;1665
11072382;647351;5139
11072398;647482;4180
11072413;647754;2348
11072458;647879;3889
11072525;647907;2879
11072532;647962;3256
11072543;647963;2131
11072552;648040;1445
11072572;648105;925
11072625;648440;1807
11072652;648527;4001
11072653;648686;4202
11072687;648774;2734
11072704;648826;912
11072730;648882;4772
11072749;648907;3447
11072770;649123;4258
11072824;649152;4620
11072831;649298;2181
11072835;649344;3921
11072852;649425;3303
11072863;649448;1632
11072894;649501;302
11072899;649560;1843
11072907;649626;83
11072913;649758;2028
11072926;649768;2286
11073049;649864;2736
11073151;649970;165
11073163;650000;4146
11073172;650011;3364
11073262;650165;315
11073274;650167;3706
11073280;650274;392
11073343;650381;4341
11073382;650392;1654
11073385;650467;2260
11073399;650523;5096
11073478;650753;4206
11073483;650988;157
11073514;651115;4852
11073517;651134;1247
11073567;651256;2204
11073574;651271;3476
11073582;651331;2432
11073598;651395;3825
11073618;651406;2734
11073641;651457;1708
11073661;651458;3646
11073671;651463;680
11073800;651466;3974
11073809;651469;4445
11073839;651630;1377
11073872;651685;4073
11073906;651692;4274
11073959;651747;5162
11074017;651761;4197
11074052;651799;513
11074070;652120;1253
11074103;652160;4703
11074110;652165;3866
11074128;652311;21
11074159;652357;60
11074166;652687;113
11074175;652750;3441
11074186;652849;4414
11074251;652937;3291
11074309;652938;4192
11074320;653162;4217
11074339;653256;3172
11074342;653290;751
11074344;653382;2104
11074367;653404;720
11074371;653515;1925
11074380;653692;3080
11074387;653780;1094
11074417;653822;2268
11074418;653832;3628
11074419;653929;3347
11074435;653960;1407
11074466;653961;3963
11074472;653967;2063
11074497;654024;1692
11074506;654149;642
11074517;654215;2137
11074549;654218;2453
11074572;654295;937
11074581;654326;2180
11074591;654510;3413
11074637;654593;2667
11074711;654786;4894
11074724;654896;3437
11074735;655077;3219
11074738;655189;3838
11074776;655359;3871
11074787;655431;2512
11074797;655438;2818
11074813;655450;3182
11074841;655580;4093
11074881;655705;1892
11074889;655771;2735
11074929;655842;1597
11074934;655892;1341
11074966;655951;4479
11075050;655957;3762
11075092;656010;4954
11075132;656463;2947
11075133;656776;542
11075245;656851;4595
11075286;656947;469
11075331;656974;2192
11075381;657091;1188
11075390;657153;4885
11075530;657229;157
11075549;657269;3499
11075597;657277;2264
11075647;657307;1131
11075718;657332;3491
11076022;657358;1325
11076117;657399;2362
11076212;657444;3684
11076281;657446;1344
11076284;657598;3456
11076309;657671;877
11076339;657872;4716
11076417;657987;2397
11076479;658019;1845
11076513;658038;3064
11076534;658054;964
11076548;658388;4531
11076563;658471;3824
11076619;658496;1581
11076702;658583;1128
11076802;658801;3904
11076856;658968;4626
11076907;659012;4768
11076915;659074;3376
11076936;659097;3817
11076974;659296;3129
11076999;659481;5127
11077087;659529;3371
11077316;659656;102
11077369;659728;516
11077516;659787;2042
11077564;660114;4358
11077626;660116;3709
11077659;660308;552
11077660;660318;4572
11077679;660402;3508
11077695;660407;703
11077708;660525;967
11077749;660909;43
11077791;661252;4452
11077854;661266;1949
11077899;661527;706
11077953;661713;2340
11077968;661733;363
11077975;661884;3770
11077978;661957;1622
11078007;662057;4254
11078038;662209;2401
11078056;662306;3881
11078075;662493;2113
11078139;662575;5019
11078148;662660;3599
11078158;662708;1476
11078176;662734;80
11078193;662800;405
11078285;663031;3589
11078288;663038;1299
11078332;663061;1231
11078382;663216;2755
11078392;663275;1145
11078401;663301;1555
11078523;663309;4383
11078554;663316;3650
11078561;663332;4073
11078567;663386;1369
11078605;663409;4532
11078626;663679;164
11078628;663704;1068
11078649;663807;2830
11078663;663844;3452
11078699;663904;4772
11078706;664144;1866
11078738;664333;113
11078752;664353;4346
11078883;664379;4213
11078885;664502;2069
11078912;664518;3995
11078937;664554;1141
11078948;664564;1231
11078966;664637;1062
11078981;664678;922
11079051;664729;2667
11079063;664838;1347
11079085;664853;1611
11079087;665056;3307
11079112;665101;2813
11079132;665276;4632
11079134;665313;3626
11079137;665317;1259
11079177;665556;1960
11079231;665712;2643
11079246;665721;1880
11079253;665914;3948
11079261;665954;1352
11079275;666039;4756
11079285;666104;304
11079334;666322;5062
11079412;666408;260
11079579;666601;4975
11079613;666629;1257
11079627;666646;2283
11079656;666662;241
11079669;666676;32
11079688;666785;3318
11079693;666952;4207
11079715;667158;2725
11079759;667229;2869
11079774;667287;965
11079783;667307;330
11079784;667395;4396
11079798;667556;1312
11079810;667631;4194
11079843;667736;2690
11079861;667819;3754
11079886;667983;1403
11079899;668033;2078
11079900;668053;2388
11079925;668141;4092
11079940;668152;3562
11079997;668279;4590
11080044;668281;2039
11080061;668319;2794
11080073;668356;1510
11080108;668385;5000
11080121;668458;3913
11080129;668517;958
11080144;668521;2064
11080166;668607;3316
11080181;668611;2447
11080201;668925;1924
11080226;668938;3218
11080262;668950;2278
11080319;669231;2011
11080342;669288;4039
11080368;669306;4505
11080414;669514;3529
11080467;669520;3238
11080489;669632;1779
11080502;669923;626
11080522;670103;2190
11080574;670130;278
11080601;670168;3265
11080606;670255;763
11080688;670289;600
11080777;670422;2013
11080778;670505;1560
11080835;670523;4307
11080973;670526;2837
11080984;670580;5172
11081010;670643;2045
11081049;670649;2599
11081054;670687;1243
11081056;670778;1491
11081065;670853;2580
11081106;670904;4209
11081146;671008;161
11081255;671344;3286
11081264;671516;3291
11081268;671781;4741
11081297;671842;5037
11081303;671893;4828
11081414;671938;958
11081432;672042;2878
11081437;672108;3473
11081451;672130;854
11081454;672363;2124
11081457;672521;3735
11081479;672576;3493
11081484;672646;4415
11081485;672771;2148
11081496;672899;193
11081507;673161;4341
11081513;673270;3478
11081519;673468;2497
11081584;674018;572
11081625;674075;4590
11081639;674090;1347
11081641;674437;3207
11081676;674446;995
11081723;674465;3806
11081735;674500;77
11081772;674548;425
11081779;674581;1466
11081803;674611;3200
11081807;674702;55
11081881;674855;2147
11081887;674893;1427
11081929;674997;4044
11081936;675172;1702
11081990;675269;3294
11081994;675274;2184
11082037;675398;348
11082052;675462;4454
11082111;675567;3473
11082124;675599;1817
11082170;675832;5002
11082199;675840;4105
11082216;675978;2412
11082231;675979;1414
11082233;676047;3775
11082258;676124;4169
11082269;676204;1692
11082273;676303;1334
11082276;676483;478
11082279;676484;4911
11082312;676628;961
11082412;676804;3112
11082444;676936;3863
11082470;677195;1549
11082503;677225;2002
11082638;677427;205
11083416;680656;2901
11083471;680701;1688
11083539;680908;4390
11083562;680949;3821
11083572;681005;1526
11083585;681055;27
11083679;681156;3539
11083686;681249;1304
11083710;681342;1028
11083724;681710;180
11083781;681789;4888
11083980;682033;919
11083996;682140;1907
11084020;682174;304
11084034;682236;1361
11084043;682318;38
11084059;682376;4274
11084098;682504;4223
11084139;682544;1216
11084152;682671;2967
11084205;682735;4911
11084224;682957;2153
11084264;683231;363
11084283;683579;3451
11084322;683724;2539
11084326;683813;2095
11084366;684067;952
11084392;684124;799
11084417;684132;1694
11084422;684523;5049
11084433;684543;3257
11084501;684596;1402
11084580;684706;262
11084588;684717;2137
11084659;684723;3175
11084668;684786;4174
11084691;684927;2795
11084699;684970;1858
11084734;685041;2506
11084763;685279;1171
11084801;685300;4462
11084857;685335;4651
11084863;685367;2148
11084886;685625;2316
11084900;685724;1998
11085027;685768;3122
11085070;685794;3211
11085166;686089;760
11085182;686096;2322
11085189;686125;5158
11085224;686207;1911
11085227;686296;498
11085359;686310;2123
11085403;686345;4112
11085422;686413;1455
11085430;686440;4188
11085462;686484;3619
11085471;686522;458
11085472;686569;851
11085481;686673;444
11085484;686782;1206
11085503;687157;2419
11085588;687387;3396
11085617;687452;4789
11085706;687587;2112
11085707;687697;3269
11085740;687883;361
11085747;688048;4589
11085754;688139;2787
11085793;688236;3488
11085818;688308;5133
11085838;688343;723
11085876;688502;319
11085905;688507;3831
11085914;688721;4486
11085952;688766;1043
11085967;688802;1508
11085983;688817;4370
11085988;688873;4014
11086121;688877;2241
11086216;688908;130
11086334;688909;3727
11086361;688924;925
11086389;688949;5099
11086495;688962;2143
11086519;689145;1836
11086531;689373;1149
11086553;689388;144
11086556;689433;434
11086571;689455;2022
11086572;689599;1577
11086582;689618;485
11086586;689670;532
11086774;690895;3069
11086860;691131;443
11086898;691276;310
11086901;691349;2301
11086905;691462;2315
11086958;691703;1260
11086966;691811;2980
11087009;691861;4352
11087060;692012;5006
11087073;692032;3817
11087144;692057;2421
11087237;692183;1121
11087297;692186;5024
11087302;692274;3829
11087311;692320;1060
11087319;692423;1746
11087374;692449;3211
11087404;692593;4007
11087405;692702;3834
11087480;692716;150
11087502;692874;1303
11087521;692959;541
11087547;692984;4871
11087559;693012;4256
11087565;693104;2711
11087594;693126;3193
11087595;693261;1844
11087630;693350;2178
11088204;693880;3131
11088221;693882;1574
11088222;693930;4315
11088232;693931;3623
11088246;694014;458
11088328;694136;5034
11088346;694431;2239
11088420;694866;2285
11090173;700763;37
11090180;700905;3122
11090183;700972;1758
11090197;701038;3840
11090209;701110;1178
11090234;701124;1085
11090258;701435;2973
11090278;701518;3156
11090373;701534;1724
11090445;701600;1839
11090479;701614;4547
11090481;701676;74
11090500;701759;3900
11090513;701936;962
11090575;701961;5175
11090591;702041;3382
11090634;702085;3399
11090645;702123;5106
11090721;702272;3771
11090737;702339;3280
11090747;702377;1318
11090758;702381;3328
11090787;702413;3250
11090853;702441;90
11090863;702506;942
11091020;702633;3187
11091050;702660;4610
11091059;702683;2727
11091097;702770;3596
11091112;703054;3865
11091143;703097;3349
11091148;703259;1589
11091190;703267;870
11091231;703419;4210
11091252;703466;2929
11091267;703578;2889
11091289;703650;2418
11091310;703677;4659
11091313;703715;2941
11091357;703771;1473
11091359;703792;1160
11091400;703794;3345
11091408;703888;1361
11091448;704021;4680
11091449;704250;3737
11091485;704254;4486
11091529;704276;1629
11091616;704321;3053
11091632;704338;3736
11091665;704460;3112
11091728;704553;2915
11091730;704587;335
11091787;704847;1129
11091793;704883;3698
11091796;705219;3514
11091849;705226;3244
11091909;705236;4440
11091981;705276;4769
11091987;705326;2910
11091994;705363;3743
11092043;705391;3741
11092046;705407;4540
11092050;705487;2404
11092095;705494;2977
11092108;705795;4655
11092132;705837;4823
11092146;705885;5111
11092157;706183;248
11092163;706376;4724
11092199;706436;4705
11092228;706461;4143
11092285;706508;485
11092316;706650;4067
11092323;706702;366
11092440;706969;4248
11092462;707131;86
11092531;707343;3225
11092592;707524;2231
11092607;707573;1441
11092636;707609;2536
11092674;707613;1581
11092714;707757;3482
11092753;707778;3959
11092761;707819;717
11092789;708040;2271
11092804;708351;1785
11092822;708355;3648
11092938;708628;3245
11092942;708642;843
11093054;708709;3558
11093058;708719;4639
11093060;708748;2444
11093107;708795;1047
11093199;708809;535
11093203;708984;2340
11093221;709012;919
11093295;709033;4499
11093316;709272;3293
11093329;709513;1959
11093357;709587;1769
11093404;709631;5148
11093448;709705;3187
11093544;709811;4915
11093555;709838;321
11093565;709899;2318
11093639;709998;3429
11093642;710087;1249
11093656;710199;426
11093658;710210;2584
11093837;710421;1340
11093972;710499;3261
11093981;710606;3817
11094022;710704;4841
11094064;710744;953
11094115;710828;259
11094420;711308;4158
11094486;711337;2909
11094503;711384;2059
11094528;711417;2463
11094542;711473;407
11094554;711527;4913
11094576;711667;3876
11094583;711672;167
11094599;711691;1728
11094626;711860;1901
11094646;711889;178
11094700;711946;775
11094796;711947;2990
11094802;711957;5159
11094823;712027;3947
11094827;712030;4021
11094866;712075;3813
11094894;712134;700
11094895;712222;3462
11094899;712343;4226
11094926;712445;2616
11095024;713080;1867
11095025;713131;1528
11095065;713186;4716
11095076;713230;1893
11095078;713250;2382
11095079;713268;2517
11095115;713336;788
11095138;713360;1311
11095189;713419;3801
11095190;713567;1739
11095213;713639;1177
11095219;713924;1944
11095228;714023;4534
11095257;714043;1823
11095267;714068;379
11095367;714077;4893
11095436;714217;398
11095464;714240;297
11095500;714288;2919
11095537;714399;1088
11095557;714683;2840
11095559;714721;3568
11095619;714907;5155
11095676;714996;3216
11095684;715021;3535
11095695;715024;3895
11095711;715128;3614
11095731;715190;4819
11095736;715215;4685
11095756;715439;1635
11095799;715606;549
11095804;715719;133
11095827;715759;3488
11095837;716041;1862
11095877;716082;1647
11095878;716321;4508
11095886;716366;3708
11095923;716387;801
11095962;716424;4835
